"Part";"Value";"Device";"Package";"Description";"";
"5V";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";
"6V";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";
"ACS715_BCU";"ACS715LLCTR-20A-T";"ACS715LLCTR-20A-T";"SOIC-8";"";"";
"ACS715_VALVE";"ACS715LLCTR-20A-T";"ACS715LLCTR-20A-T";"SOIC-8";"";"";
"BATT";"2POS_BLOCK";"2POS_BLOCK";"2POS_BLOCK";"";"";
"C1";"22 uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C2";".47 uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C3";"22 uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C4";".47 uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C5";"0.1 uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C6";"10 pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C7";"100 nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C8";"4.7 nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C9";"1 nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C10";"0.1 uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C11";"1 nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C12";"2.7 uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C13";"220 uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C14";"220 uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C15";"2.7 uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C16";"0.1 uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C17";"100 nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C18";"100 nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C19";"1 uF (electrolytic)";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C20";"100 nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C21";"1 uF (electrolytic)";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C22";"100 nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C23";"0.1 uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C24";"0.1 uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C26";"0.1 uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C27";"0.1 uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
